date,price,dix,gex
2011-08-19,1123.530029,0.4585928280566094,-1187036923.04
2011-08-22,1123.819946,0.4485672283875851,-361898319.395
2011-08-23,1162.349976,0.4615590841391805,54580971.029
2011-08-24,1177.599976,0.4796984021591272,205415735.89
2011-08-25,1159.27002,0.4887690641852494,2799983.66
2011-08-26,1176.800049,0.4796990078342175,137694130.06
2011-08-29,1210.079956,0.4810642202035492,561222253.075
2011-08-30,1212.920044,0.4783429271273025,635378251.37
2011-08-31,1218.890015,0.460570921316142,605715448.21
2011-09-01,1204.420044,0.4875406688122266,320553022.015
2011-09-02,1173.969971,0.4940899341374506,-15399260.06
2011-09-06,1165.23999,0.503255068793401,-974825.71
2011-09-07,1198.619995,0.4636180617110916,424298106.06
2011-09-08,1185.900024,0.4736423917073302,294110267.97
2011-09-09,1154.22998,0.5004884273045952,-164918292.18
2011-09-12,1162.27002,0.4690950921167392,-55401539.495
2011-09-13,1172.869995,0.4835543464194404,180810962.235
2011-09-14,1188.680054,0.4670586988449383,516499239.945
2011-09-15,1209.109985,0.4450660861919482,924224780.45
2011-09-16,1216.01001,0.4748035990564252,1627867629.87
